iata,longitude,latitude,region
ALC,-0.558156,38.2822,Atlantic
ALD,-69.229614,-11.65018,Other
ALE,-103.683998,30.384199,Other
ALF,23.3717,69.976097,Atlantic
ALG,3.214531,36.693886,Atlantic
ALH,117.8089981,-34.94329834,Pacific
ALI,-98.026901,27.7409,Other
ALJ,16.5333,-28.575001,Other
ALM,-105.993149,32.837818,Other
ALN,-90.04599762,38.89030075,Other
ALO,-92.40029907,42.55709839,Domestic
ALP,37.2244,36.180698,Atlantic
ALQ,-55.894707,-29.811595,Other
ALR,169.371113,-45.210495,Other
ALS,-105.866997,37.434898,Domestic
ALT,-54.7231,-1.917,Other
ALU,50.748,11.9582,Other
ALW,-118.288002,46.09489822,Domestic
ALX,-85.96299744,32.91469955,Other
ALZ,-154.249692,56.897294,Other
AMA,-101.706001,35.219398,Domestic
AMB,48.987999,-13.1884,Other
AMC,20.27400017,11.0340004,Other
AMD,72.634697,23.0772,Atlantic
AME,37.68138889,-15.61027778,Other
AMF,141.67,-4.101111111,Other
AMH,37.5905,6.03939,Atlantic
AMJ,-40.684024,-16.165579,Other
AMK,-107.869003,37.203201,Other
AML,-82.864537,8.267667,Other
AMM,35.99319839,31.72260094,Atlantic
AMN,-84.68800354,43.32210159,Other
AMO,15.3144,14.1456,Other
AMP,44.7342,-24.699699,Other
AMQ,128.089005,-3.71026,Pacific
AMS,4.76389,52.308601,Atlantic
AMT,131.202732,-26.097363,Other
AMU,141.2143333,-3.586,Other
AMV,61.5564003,69.76329803,Other
AMW,-93.621803,41.992001,Other
AMX,135.2420044,-21.73830032,Other
AMY,45.623889,-17.686667,Other
AMZ,174.9730072,-37.02970123,Other
ANA,34.955513,-1.27156,Atlantic
ANB,-85.8581,33.5882,Other
ANC,-149.992561,61.179004,Domestic
AND,-82.70939636,34.49459839,Other
ANE,-0.312222,47.560299,Other
ANF,-70.445099,-23.444501,South
ANG,0.221456,45.729198,Other
ANI,-159.5429993,61.58160019,Domestic
ANJ,13.817,-2.85,Other
ANK,32.68859863,39.94979858,Other
ANL,16.710899,-11.4723,Other
ANM,50.320202,-14.9994,Other
ANN,-131.572609,55.037663,Other
ANO,39.945217,-16.18187,Other
ANP,-76.568398,38.942902,Other
ANQ,-85.083504,41.639702,Other
